"ID","protein-ID","species-ID","group-ID","spec-Type","spec-No"
"PSBA_CHLRE","PSBA","CHLRE","E8620","E",8620
"PSBA_CYACA","PSBA","CYACA","E8790","E",8790
"PSBA_CYAPA","PSBA","CYAPA","E8760","E",8760
"PSBA_ECTSI","PSBA","ECTSI","E8770","E",8770
"PSBA_EUGGR","PSBA","EUGGR","E8750","E",8750
"PSBA_FREDI","PSBA","FREDI","P0070","P",70
"PSBA_HORVU","PSBA","HORVU","E9940","E",9940
"PSBA_MARPO","PSBA","MARPO","E8910","E",8910
"PSBA_MEDSA","PSBA","MEDSA","E9670","E",9670
"PSBA_ORYSA","PSBA","ORYSA","E9940","E",9940
"PSBA_PEA","PSBA","PEA","E9670","E",9670
"PSBA_PETHY","PSBA","PETHY","E9820","E",9820
"PSBA_PINCO","PSBA","PINCO","E9000","E",9000
"PSBA_PROHO","PSBA","PROHO","P0090","P",90
"PSBA_SECCE","PSBA","SECCE","E9940","E",9940
"PSBA_SINAL","PSBA","SINAL","E9610","E",9610
"PSBA_SOYBN","PSBA","SOYBN","E9670","E",9670
"PSBA_SPIOG","PSBA","SPIOG","E9930","E",9930
"PSBA_SPIOL","PSBA","SPIOL","E9490","E",9490
"PSBA_SYNY4","PSBA","SYNY4","P0050","P",50
"PSBA_TOBAC","PSBA","TOBAC","E9820","E",9820
"PSBA_VICFA","PSBA","VICFA","E9670","E",9670
"PSBA_WHEAT","PSBA","WHEAT","E9940","E",9940
"PSBB_ANASP","PSBB","ANASP","P0070","P",70
"PSBB_SYNY3","PSBB","SYNY3","P0050","P",50
"PSBC_CHLRE","PSBC","CHLRE","E8620","E",8620
"PSBC_CYACA","PSBC","CYACA","E8790","E",8790
"PSBC_EUGGR","PSBC","EUGGR","E8750","E",8750
"PSBC_HORVU","PSBC","HORVU","E9940","E",9940
"PSBC_MARPO","PSBC","MARPO","E8910","E",8910
"PSBC_ORYSA","PSBC","ORYSA","E9940","E",9940
"PSBC_PEA","PSBC","PEA","E9670","E",9670
"PSBC_SECCE","PSBC","SECCE","E9940","E",9940
"PSBC_SPIOL","PSBC","SPIOL","E9490","E",9490
"PSBC_SYNP7","PSBC","SYNP7","P0050","P",50
"PSBC_SYNY3","PSBC","SYNY3","P0050","P",50
"PSBC_TOBAC","PSBC","TOBAC","E9820","E",9820
"PSBD_CHLRE","PSBD","CHLRE","E8620","E",8620
"PSBD_CYACA","PSBD","CYACA","E8790","E",8790
"PSBD_HORVU","PSBD","HORVU","E9940","E",9940
"PSBD_MARPO","PSBD","MARPO","E8910","E",8910
"PSBD_ORYSA","PSBD","ORYSA","E9940","E",9940
"PSBD_PEA","PSBD","PEA","E9670","E",9670
"PSBD_SECCE","PSBD","SECCE","E9940","E",9940
"PSBD_SPIOL","PSBD","SPIOL","E9490","E",9490
"PSBD_SYNP2","PSBD","SYNP2","P0050","P",50
"PSBD_SYNP7","PSBD","SYNP7","P0050","P",50
"PSBD_SYNY3","PSBD","SYNY3","P0050","P",50
"PSBD_TOBAC","PSBD","TOBAC","E9820","E",9820
"PSBE_CYAPA","PSBE","CYAPA","E8760","E",8760
"PSBE_EUGGR","PSBE","EUGGR","E8750","E",8750
"PSBE_MARPO","PSBE","MARPO","E8910","E",8910
"PSBE_OENBE","PSBE","OENBE","E9680","E",9680
"PSBE_PEA","PSBE","PEA","E9670","E",9670
"PSBE_SPIOL","PSBE","SPIOL","E9490","E",9490
"PSBE_SYNVU","PSBE","SYNVU","P0050","P",50
"PSBE_SYNY3","PSBE","SYNY3","P0050","P",50
"PSBE_TOBAC","PSBE","TOBAC","E9820","E",9820
"PSBE_WHEAT","PSBE","WHEAT","E9940","E",9940
"PSBF_CYAPA","PSBF","CYAPA","E8760","E",8760
"PSBF_EUGGR","PSBF","EUGGR","E8750","E",8750
"PSBF_MARPO","PSBF","MARPO","E8910","E",8910
"PSBF_ORYSA","PSBF","ORYSA","E9940","E",9940
"PSBF_PEA","PSBF","PEA","E9670","E",9670
"PSBF_SPIOL","PSBF","SPIOL","E9490","E",9490
"PSBF_SYNVU","PSBF","SYNVU","P0050","P",50
"PSBF_SYNY3","PSBF","SYNY3","P0050","P",50
"PSBF_TOBAC","PSBF","TOBAC","E9820","E",9820
"PSBH_CHLRE","PSBH","CHLRE","E8620","E",8620
"PSBH_HORVU","PSBH","HORVU","E9940","E",9940
"PSBH_MAIZE","PSBH","MAIZE","E9940","E",9940
"PSBH_MARPO","PSBH","MARPO","E8910","E",8910
"PSBH_OENHO","PSBH","OENHO","E9680","E",9680
"PSBH_ORYSA","PSBH","ORYSA","E9940","E",9940
"PSBH_SPIOL","PSBH","SPIOL","E9490","E",9490
"PSBH_SYNY3","PSBH","SYNY3","P0050","P",50
"PSBH_TOBAC","PSBH","TOBAC","E9820","E",9820
"PSBH_WHEAT","PSBH","WHEAT","E9940","E",9940
"PSBI_CYAPA","PSBI","CYAPA","E8760","E",8760
"PSBI_EUGGR","PSBI","EUGGR","E8750","E",8750
"PSBI_HORVU","PSBI","HORVU","E9940","E",9940
"PSBI_MARPO","PSBI","MARPO","E8910","E",8910
"PSBI_ORYSA","PSBI","ORYSA","E9940","E",9940
"PSBI_PSEMZ","PSBI","PSEMZ","E9000","E",9000
"PSBI_SYNP6","PSBI","SYNP6","P0050","P",50
"PSBI_SYNVU","PSBI","SYNVU","P0050","P",50
"PSBI_TOBAC","PSBI","TOBAC","E9820","E",9820
"PSBM_MARPO","PSBM","MARPO","E8910","E",8910
"PSBM_ORYSA","PSBM","ORYSA","E9940","E",9940
"PSBM_SYNVU","PSBM","SYNVU","P0050","P",50
"PSBN_MARPO","PSBN","MARPO","E8910","E",8910
"PSBN_ORYSA","PSBN","ORYSA","E9940","E",9940
"PSBN_SYNVU","PSBN","SYNVU","P0050","P",50
"PSBN_SYNY3","PSBN","SYNY3","P0050","P",50
"PSBN_TOBAC","PSBN","TOBAC","E9820","E",9820
"PSPB_ECOLI","PSPB","ECOLI","P0810","P",810
"PSTA_ECOLI","PSTA","ECOLI","P0810","P",810
"PSTC_ECOLI","PSTC","ECOLI","P0810","P",810
"PT2A_ECOLI","PT2A","ECOLI","P0810","P",810
"PT2B_ECOLI","PT2B","ECOLI","P0810","P",810
"PT2B_ERWCH","PT2B","ERWCH","P0810","P",810
"PT2C_ECOLI","PT2C","ECOLI","P0810","P",810
"PT2D_ECOLI","PT2D","ECOLI","P0810","P",810
"PT2F_ECOLI","PT2F","ECOLI","P0810","P",810
"PT2F_RHOCA","PT2F","RHOCA","P0120","P",120
"PT2F_XANCP","PT2F","XANCP","P0710","P",710
"PT2G_BACSU","PT2G","BACSU","P1510","P",1510
"PT2G_ECOLI","PT2G","ECOLI","P0810","P",810
"PT2L_LACCA","PT2L","LACCA","P1610","P",1610
"PT2L_LACLA","PT2L","LACLA","P1420","P",1420
"PT2L_STAAU","PT2L","STAAU","P1410","P",1410
"PT2M_ECOLI","PT2M","ECOLI","P0810","P",810
"PT2M_STACA","PT2M","STACA","P1410","P",1410
"PT2N_ECOLI","PT2N","ECOLI","P0810","P",810
"PT2P_ECOLI","PT2P","ECOLI","P0810","P",810
"PT2S_BACSU","PT2S","BACSU","P1510","P",1510
"PT2S_KLEPN","PT2S","KLEPN","P0810","P",810
