"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E5180","E",5180,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","PERISSODACTYLA"
"E5190","E",5190,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","PHOLIDOTA"
"E5200","E",5200,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","PINNIPEDIA"
"E5210","E",5210,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","PRIMATES"
"E5220","E",5220,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","PROBOSCIDEA"
"E5230","E",5230,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","RODENTIA"
"E5240","E",5240,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","SCANDENTIA"
"E5250","E",5250,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","SIRENIA"
"E5260","E",5260,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","TUBULIDENTATA"
"E5410","E",5410,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","REPTILIA","ANAPSIDA",
"E5420","E",5420,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","REPTILIA","ARCHOSAURIA",
"E5430","E",5430,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","REPTILIA","RHYNCHOCEPHALIA",
"E5440","E",5440,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","REPTILIA","LEPIDOSAURIA","SAURIA"
"E5450","E",5450,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","REPTILIA","LEPIDOSAURIA","SERPENTES"
"E6010","E",6010,"METAZOA","ARTHROPODA","CHELICERATA","ARACHNIDA","ACARI",,
"E6020","E",6020,"METAZOA","ARTHROPODA","CHELICERATA","ARACHNIDA","ARANEAE",,
"E6030","E",6030,"METAZOA","ARTHROPODA","CHELICERATA","ARACHNIDA","SCORPIONES",,
"E6120","E",6120,"METAZOA","ARTHROPODA","CHELICERATA","XIPHOSURA",,,
"E6200","E",6200,"METAZOA","ARTHROPODA","INSECTA","NOT YET CLASSIFIED",,,
"E6210","E",6210,"METAZOA","ARTHROPODA","INSECTA","BLATTODEA",,,
"E6220","E",6220,"METAZOA","ARTHROPODA","INSECTA","COLEOPTERA",,,
"E6230","E",6230,"METAZOA","ARTHROPODA","INSECTA","DIPTERA",,,
"E6236","E",6236,"METAZOA","ARTHROPODA","INSECTA","HETEROPTERA","PENTATOMOMORPHA",,
"E6238","E",6238,"METAZOA","ARTHROPODA","INSECTA","HOMOPTERA",,,
"E6240","E",6240,"METAZOA","ARTHROPODA","INSECTA","HYMENOPTERA",,,
"E6245","E",6245,"METAZOA","ARTHROPODA","INSECTA","ISOPTERA",,,
"E6250","E",6250,"METAZOA","ARTHROPODA","INSECTA","LEPIDOPTERA",,,
"E6260","E",6260,"METAZOA","ARTHROPODA","INSECTA","ODONATA","ANISOPTERA",,
"E6270","E",6270,"METAZOA","ARTHROPODA","INSECTA","ORTHOPTERA",,,
"E6280","E",6280,"METAZOA","ARTHROPODA","INSECTA","PHASMATOPTERA",,,
"E6284","E",6284,"METAZOA","ARTHROPODA","INSECTA","SIPHONAPTERA",,,
"E6300","E",6300,"METAZOA","CNIDARIA","ANTHOZOA","ZOANTHARIA","ACTINIARIA",,
"E6310","E",6310,"METAZOA","CNIDARIA","ANTHOZOA","ZOANTHARIA","SCLERCTINIA",,
"E6330","E",6330,"METAZOA","CNIDARIA","ANTHOZOA","ALCYONARIA","PENNATULACEA",,
"E6350","E",6350,"METAZOA","CNIDARIA","HYDROZOA","HYDROIDA",,,
"E6410","E",6410,"METAZOA","ARTHROPODA","CRUSTACEA","BRANCHIOPODA",,,
"E6420","E",6420,"METAZOA","ARTHROPODA","CRUSTACEA","CIRRIPEDIA",,,
"E6430","E",6430,"METAZOA","ARTHROPODA","CRUSTACEA","COPEPODA",,,
"E6440","E",6440,"METAZOA","ARTHROPODA","CRUSTACEA","MALACOSTRACA",,,
"E6450","E",6450,"METAZOA","ARTHROPODA","CRUSTACEA","OSTRACODA",,,
"E6550","E",6550,"METAZOA","BRACHIOPODA","INARTICULATA",,,,
"E6600","E",6600,"METAZOA","ECHINODERMATA","ASTEROZOA","ASTEROIDEA",,,
"E6610","E",6610,"METAZOA","ECHINODERMATA","ECHINOZOA","ECHINOIDEA","PERISCHOECHINOIDEA",,
"E6620","E",6620,"METAZOA","ECHINODERMATA","ECHINOZOA","ECHINOIDEA","EUECHINOIDEA",,
"E6640","E",6640,"METAZOA","ECHINODERMATA","ECHINOZOA","HOLOTHURIOIDEA","ASPIDOCHIROTACEA",,
"E6990","E",6990,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","ARCHAEOGASTROPODA","HALIOTIDAE",
